audio_start_timestamp,audio time,x,y,audio,tagId
1719455383.99,0:00:01,10333.517441463557,6202.103198170553,1,RED
1719455383.99,0:00:01,10377.417645643984,5992.085299878056,0,BLUE
1719455383.99,0:00:01,8358.087537111407,4210.824925777186,0,GREEN
1719455383.99,0:00:01,11253.626315640193,6334.209233757003,0,YELLOW
1719455383.99,0:00:02,10282.487703852808,6248.930328021028,1,RED
1719455383.99,0:00:02,10213.22571815856,5614.273597570283,0,BLUE
1719455383.99,0:00:02,11213.738279281775,6373.39748000387,0,YELLOW
1719455383.99,0:00:02,8358.13573416258,4210.423822775054,0,GREEN
1719455383.99,0:00:03,10213.872806479409,5672.254387041184,1,BLUE
1719455383.99,0:00:03,10262.344968066836,6277.943239376058,1,RED
1719455383.99,0:00:03,8353.865300152545,4202.595900457638,0,GREEN
1719455383.99,0:00:03,11166.00715750944,6414.656165946145,0,YELLOW
1719455383.99,0:00:04,8358.880681660396,4204.16477162277,0,GREEN
1719455383.99,0:00:04,10220.880682337722,5728.5326724894085,1,BLUE
1719455383.99,0:00:04,10179.48079696235,6346.817922835139,1,RED
1719455383.99,0:00:04,11102.25358255473,6474.828079386547,0,YELLOW
1719455383.99,0:00:05,10241.603107926809,5771.057909433292,1,BLUE
1719455383.99,0:00:05,8858.737624303132,4451.333351369723,0,GREEN
1719455383.99,0:00:05,11022.04789459616,6563.783090146396,0,YELLOW
1719455383.99,0:00:05,10230.33803017909,6359.267606035818,1,RED
1719455383.99,0:00:06,10276.109969708252,5759.686217341982,1,BLUE
1719455383.99,0:00:06,8377.217531020327,4207.239201194166,0,GREEN
1719455383.99,0:00:06,10280.968164735856,6365.0405211533525,1,RED
1719455383.99,0:00:06,11002.99015475412,6577.825597639288,0,YELLOW
1719455383.99,0:00:07,10350.034918339954,6349.058656977191,1,RED
1719455383.99,0:00:07,10329.130435684005,5744.709676750579,1,BLUE
1719455383.99,0:00:07,8363.818820330538,4208.273876594968,0,GREEN
1719455383.99,0:00:07,11034.840338020118,6528.341733970941,0,YELLOW
1719455383.99,0:00:08,10371.739614177915,5717.005539105111,1,BLUE
1719455383.99,0:00:08,7651.2775930873395,3849.5902061682577,0,GREEN
1719455383.99,0:00:08,10318.744412314918,6376.843576118453,1,RED
1719455383.99,0:00:08,11026.049506419597,6541.214990829147,0,YELLOW
1719455383.99,0:00:09,7442.671251605718,3747.5997247200057,0,GREEN
1719455383.99,0:00:09,11017.462395276789,6551.4596106272265,0,YELLOW
1719455383.99,0:00:09,10561.09363331145,6157.771118572013,1,BLUE
